website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
cisa.gov,23.204.25.176,0.932,1.95,1.1233,1.04,23.204.25.176,0.9845,0.055499999999999994,True
citigroup.com,104.96.178.165,217.0,230.0,218.8,218.0,104.94.222.171,6.404999999999999,211.595,False
clashofclans.com,13.226.94.121,0.924,1.83,1.0555,0.9625,13.226.94.95,0.887,0.07550000000000001,False
classdojo.com,18.173.132.98,0.88,1.03,0.9546,0.944,18.173.132.32,0.8825000000000001,0.06149999999999989,False
cleanbrowsing.org,208.167.248.121,1.9,2.82,2.051,1.955,208.167.248.121,1.9,0.05500000000000016,True
clever.com,18.164.124.3,1.04,1.15,1.073,1.065,18.164.124.3,1.065,0.0,True
clevertap-prod.com,3.168.122.95,0.896,1.73,1.0116999999999998,0.931,3.168.122.95,0.931,0.0,True
clickcease.com,18.238.49.25,0.898,1.69,1.0144,0.9395,18.238.49.45,0.906,0.033499999999999974,False
clicktripz.com,18.173.132.75,0.871,1.52,1.0044,0.944,18.173.132.21,0.901,0.04299999999999993,False
clickup.com,13.33.252.32,1.17,2.15,1.329,1.24,13.33.252.2,1.08,0.15999999999999992,False
cms.gov,23.201.161.118,0.963,1.46,1.0492,0.9965,23.201.161.118,0.9965,0.0,True
cnstrc.com,13.35.93.22,1.04,1.19,1.086,1.07,13.35.93.22,1.06,0.010000000000000009,True
coches.net,18.238.49.4,0.897,1.16,0.9582,0.9455,18.238.49.48,0.855,0.09050000000000002,False
code.org,3.168.102.13,0.909,1.94,1.0313,0.936,3.171.139.88,0.92,0.016000000000000014,False
codedish.co,18.238.80.5,0.884,0.997,0.9297,0.9245,18.238.80.120,0.854,0.07050000000000001,False
coinmarketcap.com,52.85.61.100,0.935,1.93,1.0609,0.967,52.85.61.100,0.967,0.0,True
colearn.id,108.138.128.89,1.03,1.75,1.146,1.085,108.138.128.89,1.085,0.0,True
company-target.com,3.168.122.46,0.863,2.03,1.0056,0.8945000000000001,3.168.122.118,0.894,0.000500000000000056,False
company.site,18.173.219.39,0.889,1.01,0.9324,0.935,18.173.219.39,0.935,0.0,True
compass.com,18.173.132.99,0.919,2.03,1.0703,0.9575,18.173.132.128,0.9215,0.03600000000000003,False
complex.com,13.33.252.45,0.992,1.07,1.0442000000000002,1.05,13.33.252.45,1.05,0.0,True
concursolutions.com,96.17.65.23,0.974,1.77,1.0981999999999998,1.0035,96.17.65.23,1.0035,0.0,True
connatix.com,3.168.73.17,1.02,1.67,1.191,1.11,3.168.73.17,1.07,0.040000000000000036,True
consumerreports.org,3.171.85.59,6.38,7.58,6.556,6.445,3.171.85.114,6.1850000000000005,0.2599999999999998,False
convertio.co,13.226.94.54,0.779,0.919,0.8698,0.874,13.226.94.54,0.874,0.0,True
coppel.com,23.56.210.193,0.676,1.52,0.8444999999999998,0.769,23.56.210.193,0.769,0.0,True
costco.ca,23.204.9.232,0.956,1.11,1.0081,0.993,23.204.9.232,0.993,0.0,True
costco.com,23.56.210.23,0.986,1.18,1.0656,1.04,23.56.210.23,1.04,0.0,True
coupang.com,3.171.139.112,0.856,1.02,0.9089999999999998,0.8985000000000001,3.171.139.112,0.887,0.011500000000000066,True
coursera.org,18.164.116.5,1.02,1.16,1.088,1.0950000000000002,18.164.116.5,1.0950000000000002,0.0,True
cpsc.gov,23.201.166.17,0.71,0.781,0.7448999999999999,0.744,23.201.166.17,0.7384999999999999,0.00550000000000006,True
creditkarma.com,23.201.165.22,1.2,1.37,1.2840000000000005,1.275,23.201.165.22,1.225,0.04999999999999982,True
credly.com,13.33.252.90,1.01,2.03,1.143,1.04,13.33.252.90,1.04,0.0,True
cricketwireless.com,23.204.20.148,0.893,0.954,0.9302,0.927,23.204.20.148,0.927,0.0,True
csmonitor.com,18.164.124.68,1.2,1.3,1.253,1.255,18.164.124.68,1.25,0.004999999999999893,True
ctvnews.ca,23.204.24.48,1.15,1.33,1.23,1.23,23.204.24.48,1.23,0.0,True
cvs.com,23.77.242.39,1.17,1.72,1.286,1.255,23.77.242.39,1.255,0.0,True
cylance.com,13.249.91.63,0.834,1.41,0.9289,0.882,13.249.91.66,0.867,0.015000000000000013,False
dailykos.com,3.168.102.56,0.907,1.92,1.0537999999999998,0.965,3.168.102.81,0.884,0.08099999999999996,False
dailymail.co.uk,23.47.168.230,0.957,2.06,1.1313,1.015,23.47.168.230,1.015,0.0,True
dalyfeds.com,23.33.46.150,1.59,1.77,1.672,1.68,23.204.152.232,1.26,0.41999999999999993,False
dan.com,23.48.224.103,0.942,1.76,1.1062,1.035,23.48.224.103,1.035,0.0,True
datadoghq.com,18.164.124.39,1.03,1.54,1.148,1.1,18.164.124.60,1.08,0.020000000000000018,False
datadome.co,18.173.132.78,0.942,1.08,0.9877,0.9795,18.173.132.78,0.967,0.012500000000000067,True
datto.com,23.204.6.27,0.76,0.904,0.8118000000000001,0.8,23.204.6.27,0.8,0.0,True
dazn.com,13.225.63.126,1.03,1.09,1.0570000000000002,1.06,13.225.63.26,0.9425,0.11750000000000005,False
deepai.org,108.139.47.57,1.23,2.07,1.34,1.245,108.139.47.32,1.1,0.14500000000000002,False
deezer.com,18.164.96.97,1.22,2.39,1.371,1.265,18.164.96.45,1.0950000000000002,0.1699999999999997,False
defense.gov,23.204.20.150,0.727,0.965,0.8496,0.8454999999999999,23.204.20.150,0.8454999999999999,0.0,True
delishkitchen.tv,18.238.49.109,0.895,1.73,1.0304,0.9595,18.238.49.109,0.866,0.09350000000000003,True
deputy.com,3.168.102.28,0.907,1.65,1.0333,0.967,3.168.102.28,0.967,0.0,True
destentor.nl,23.200.88.74,0.982,2.0,1.1702,1.0550000000000002,23.200.88.74,1.0550000000000002,0.0,True
deviantart.com,108.139.29.90,1.04,1.12,1.0720000000000005,1.065,18.238.80.111,0.8825000000000001,0.18249999999999988,False
dhgate.com,23.56.210.192,1.15,1.28,1.203,1.21,23.56.210.192,1.21,0.0,True
dhl.de,23.217.135.133,77.6,77.7,77.69000000000001,77.7,2.18.220.144,74.8,2.9000000000000057,False
dhs.gov,23.201.181.246,0.915,1.44,1.0085,0.965,23.201.181.246,0.965,0.0,True
dialoguecorp.com,3.168.122.14,0.846,1.66,0.9688,0.8845000000000001,3.168.122.14,0.869,0.01550000000000007,True
digitalgov.gov,13.35.93.67,1.19,2.3,1.353,1.245,13.35.93.95,1.065,0.18000000000000016,False
discover.com,23.204.18.73,0.937,1.09,1.0074,0.991,23.204.18.73,0.991,0.0,True
discoveryplus.com,13.226.94.25,0.895,1.12,0.983,0.969,13.226.94.47,0.9425,0.026499999999999968,False
dish.com,13.35.93.54,1.07,2.19,1.219,1.115,13.35.93.54,1.115,0.0,True
dji.com,13.35.93.30,1.21,2.18,1.373,1.255,18.173.219.51,0.863,0.3919999999999999,False
dnb.com,23.204.1.135,0.974,1.33,1.0377,1.005,23.204.1.135,1.005,0.0,True
doctoralia.com.br,13.249.91.103,0.822,1.98,0.967,0.854,13.249.91.103,0.854,0.0,True
dome9.com,18.173.219.31,0.867,1.29,0.9296,0.873,18.173.219.31,0.873,0.0,True
domestika.org,18.238.80.122,0.903,1.21,0.9688,0.947,18.238.80.66,0.8825000000000001,0.06449999999999989,False
dominos.com,23.56.210.10,0.71,0.81,0.7692,0.7795000000000001,23.56.210.10,0.748,0.031500000000000083,True
dotloop.com,108.139.29.126,0.998,1.93,1.1467999999999998,1.05,108.139.29.126,1.05,0.0,True
dr.dk,23.200.88.56,1.16,1.52,1.265,1.24,23.200.88.56,1.24,0.0,True
draftkings.com,23.200.88.60,1.02,1.62,1.138,1.085,23.44.203.87,0.7575000000000001,0.3274999999999999,False
dreamhost.com,18.160.46.94,7.3,8.09,7.439999999999999,7.37,18.160.46.34,6.795,0.5750000000000002,False
drift.com,13.226.94.100,0.901,2.02,1.0495,0.943,13.226.94.78,0.8805000000000001,0.06249999999999989,False
driftt.com,18.164.96.18,1.21,2.27,1.358,1.255,18.164.96.126,1.045,0.20999999999999996,False
drogaraia.com.br,3.168.122.122,0.85,1.69,1.0134,0.95,3.168.122.122,0.95,0.0,True
dropgame.jp,18.173.132.3,0.81,0.922,0.8643000000000001,0.8665,18.173.132.3,0.843,0.023500000000000076,True
drugs.com,23.201.182.92,1.0,1.57,1.121,1.0550000000000002,23.201.182.92,1.015,0.04000000000000026,True
duosecurity.com,13.226.94.128,0.872,1.07,0.959,0.9565,13.226.94.122,0.881,0.07550000000000001,False
dyn.com,23.48.203.107,6.86,6.96,6.9,6.895,23.212.250.76,6.055,0.8399999999999999,False
ea.com,23.56.162.193,1.11,1.66,1.2340000000000002,1.185,23.56.162.193,1.185,0.0,True
easports.com,23.201.190.157,1.16,2.22,1.326,1.225,23.201.190.157,1.225,0.0,True
ebay.co.uk,23.48.224.105,1.09,1.23,1.173,1.19,23.48.224.70,0.786,0.4039999999999999,False
ebay.com,23.48.224.105,1.15,2.06,1.308,1.24,23.48.224.105,1.24,0.0,True
