Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13
google.com.sv,ya-in-f94.1e100.net,lga34s40-in-f3.1e100.net,nuq04s39-in-f3.1e100.net,lga25s71-in-f3.1e100.net,syd09s31-in-f3.1e100.net,lga25s78-in-f3.1e100.net,bom07s28-in-f3.1e100.net,si-in-f94.1e100.net,nuq04s44-in-f3.1e100.net,fra16s51-in-f3.1e100.net,ams17s12-in-f3.1e100.net,yyz12s08-in-f3.1e100.net,lhr48s28-in-f3.1e100.net
google.dz,syd15s17-in-f3.1e100.net,ym-in-f94.1e100.net,ams15s48-in-f3.1e100.net,sfo03s25-in-f3.1e100.net,lhr25s13-in-f67.1e100.net,sh-in-f94.1e100.net,lga25s80-in-f3.1e100.net,nuq04s42-in-f3.1e100.net,iad23s25-in-f3.1e100.net,bom12s03-in-f3.1e100.net,lax30s03-in-f3.1e100.net,mil07s08-in-f3.1e100.net,lga34s32-in-f3.1e100.net
morningstar.com,server-52-222-144-11.mrs52.r.cloudfront.net,server-13-32-27-16.fra56.r.cloudfront.net,server-108-138-246-57.sfo5.r.cloudfront.net,server-18-160-143-9.den52.r.cloudfront.net,server-108-159-61-72.bom78.r.cloudfront.net,server-108-138-217-29.lhr61.r.cloudfront.net,server-18-164-124-109.jfk50.r.cloudfront.net,server-3-165-102-90.sin2.r.cloudfront.net,server-18-164-124-38.jfk50.r.cloudfront.net,server-108-138-246-92.sfo5.r.cloudfront.net,server-3-162-174-125.ord56.r.cloudfront.net,server-99-86-212-42.mel51.r.cloudfront.net,
economictimes.com,a23-205-255-82.deploy.static.akamaitechnologies.com,a2-16-6-227.deploy.static.akamaitechnologies.com,a23-209-72-236.deploy.static.akamaitechnologies.com,a69-192-139-196.deploy.static.akamaitechnologies.com,a23-73-207-167.deploy.static.akamaitechnologies.com,a23-45-91-109.deploy.static.akamaitechnologies.com,a184-86-103-7.deploy.static.akamaitechnologies.com,a23-48-247-233.deploy.static.akamaitechnologies.com,a23-55-39-201.deploy.static.akamaitechnologies.com,a2-16-128-112.deploy.static.akamaitechnologies.com,a23-209-72-237.deploy.static.akamaitechnologies.com,,
google.com.np,bom12s19-in-f3.1e100.net,syd09s31-in-f3.1e100.net,sfo03s26-in-f3.1e100.net,lga34s30-in-f3.1e100.net,lga34s37-in-f3.1e100.net,lga25s78-in-f3.1e100.net,atl26s14-in-f3.1e100.net,fra16s65-in-f3.1e100.net,lhr25s25-in-f3.1e100.net,ams15s42-in-f3.1e100.net,sf-in-f94.1e100.net,ys-in-f94.1e100.net,yyz10s20-in-f3.1e100.net
google.co.uz,yb-in-f106.1e100.net,iad23s25-in-f4.1e100.net,lhr48s29-in-f4.1e100.net,sfo03s32-in-f4.1e100.net,fra16s49-in-f4.1e100.net,lga34s36-in-f4.1e100.net,lga25s77-in-f4.1e100.net,sm-in-f103.1e100.net,syd09s31-in-f4.1e100.net,ams17s12-in-f4.1e100.net,lga34s32-in-f4.1e100.net,pnbomb-ad-in-f4.1e100.net,
blogspot.de,ym-in-f191.1e100.net,sfo03s27-in-f9.1e100.net,fra16s56-in-f9.1e100.net,lga34s32-in-f9.1e100.net,ams15s48-in-f9.1e100.net,lga34s35-in-f9.1e100.net,bom07s31-in-f9.1e100.net,si-in-f191.1e100.net,sfo03s18-in-f9.1e100.net,yyz12s07-in-f9.1e100.net,lhr48s49-in-f9.1e100.net,lga25s73-in-f9.1e100.net,syd09s25-in-f9.1e100.net
google.com.py,ams17s10-in-f3.1e100.net,nuq04s35-in-f3.1e100.net,lga34s38-in-f3.1e100.net,yv-in-f94.1e100.net,lhr48s49-in-f3.1e100.net,lga34s34-in-f3.1e100.net,nuq04s43-in-f3.1e100.net,yyz10s17-in-f3.1e100.net,syd09s17-in-f3.1e100.net,sf-in-f94.1e100.net,lga25s72-in-f3.1e100.net,fra16s49-in-f3.1e100.net,bom07s29-in-f3.1e100.net
fox.com,a23-194-100-219.deploy.static.akamaitechnologies.com,a23-195-120-172.deploy.static.akamaitechnologies.com,a92-123-44-200.deploy.static.akamaitechnologies.com,a23-58-152-234.deploy.static.akamaitechnologies.com,a23-206-180-163.deploy.static.akamaitechnologies.com,a23-44-16-218.deploy.static.akamaitechnologies.com,a2-23-160-163.deploy.static.akamaitechnologies.com,a23-53-112-194.deploy.static.akamaitechnologies.com,a23-51-56-218.deploy.static.akamaitechnologies.com,a23-199-48-191.deploy.static.akamaitechnologies.com,a23-37-16-218.deploy.static.akamaitechnologies.com,,
usabilla.com,server-18-238-49-43.jfk52.r.cloudfront.net,server-18-238-49-96.jfk52.r.cloudfront.net,server-52-85-132-125.iad50.r.cloudfront.net,server-18-67-93-32.syd62.r.cloudfront.net,server-13-33-88-103.sin2.r.cloudfront.net,server-18-245-96-25.yto50.r.cloudfront.net,server-18-66-41-127.bom78.r.cloudfront.net,server-18-239-83-43.ams58.r.cloudfront.net,server-18-173-205-120.fra56.r.cloudfront.net,server-18-155-192-107.sfo53.r.cloudfront.net,server-18-173-205-12.fra56.r.cloudfront.net,,
menlosecurity.com,server-108-138-106-128.jfk50.r.cloudfront.net,server-18-66-122-103.fra60.r.cloudfront.net,server-108-138-64-84.iad12.r.cloudfront.net,server-18-66-122-111.fra60.r.cloudfront.net,server-99-84-238-204.sfo5.r.cloudfront.net,server-13-33-165-81.yto50.r.cloudfront.net,server-99-84-238-134.sfo5.r.cloudfront.net,server-18-239-142-17.bom54.r.cloudfront.net,server-108-138-106-105.jfk50.r.cloudfront.net,server-13-33-88-75.sin2.r.cloudfront.net,server-108-158-20-7.syd62.r.cloudfront.net,server-18-239-69-117.ams58.r.cloudfront.net,
google.co.ma,nuq04s39-in-f4.1e100.net,syd15s17-in-f4.1e100.net,lga34s35-in-f4.1e100.net,sc-in-f147.1e100.net,bom07s29-in-f4.1e100.net,sfo03s26-in-f4.1e100.net,yyz10s20-in-f4.1e100.net,yq-in-f105.1e100.net,ams16s22-in-f4.1e100.net,zrh04s06-in-f132.1e100.net,ams15s41-in-f4.1e100.net,lga25s80-in-f4.1e100.net,
