website,cdn,min,max,mean,media
maurices.com,23.67.33.41,3.03,3.62,3.122,3.0700000000000003
maurices.com,23.49.248.29,66.7,66.7,66.70000000000002,66.7
maurices.com,23.32.29.17,189.0,190.0,189.1,189.0
maurices.com,2.21.20.10,147.0,148.0,147.1,147.0
maurices.com,23.11.215.153,238.0,239.0,238.5,238.5
maurices.com,23.206.243.41,200.0,201.0,200.9,201.0
maurices.com,23.44.111.73,65.7,65.8,65.72999999999999,65.7
maurices.com,2.19.248.81,135.0,136.0,135.1,135.0
maurices.com,23.205.255.228,60.2,60.3,60.25,60.25
maurices.com,23.48.105.11,59.8,60.2,59.90999999999999,59.9
maurices.com,23.49.248.25,66.8,67.5,66.95,66.9
maurices.com,95.101.74.112,140.0,141.0,140.5,140.5
maurices.com,23.216.149.144,0.766,1.24,0.8696999999999999,0.824
maurices.com,23.216.149.141,0.768,0.835,0.7982,0.7955000000000001
domestika.org,13.35.121.17,0.797,1.55,0.9350999999999999,0.8474999999999999
domestika.org,13.35.121.82,0.826,1.93,1.0333999999999999,0.865
domestika.org,18.238.80.66,68.4,69.4,68.58,68.5
domestika.org,108.158.32.62,136.0,137.0,136.1,136.0
domestika.org,108.138.64.109,66.7,69.5,67.1,66.8
domestika.org,3.165.102.43,194.0,195.0,194.7,195.0
domestika.org,18.245.31.126,150.0,151.0,150.1,150.0
domestika.org,18.239.111.121,248.0,248.0,248.0,248.0
domestika.org,3.164.92.37,63.5,64.1,63.57000000000001,63.5
domestika.org,18.238.80.122,66.7,66.8,66.71000000000001,66.7
domestika.org,13.35.121.53,0.829,1.43,0.9079,0.8494999999999999
domestika.org,18.239.83.114,142.0,142.0,142.0,142.0
certalicup.com,3.168.86.124,0.779,1.6,0.9027,0.836
certalicup.com,108.139.29.97,70.0,71.0,70.1,70.0
certalicup.com,18.67.39.106,67.9,69.0,68.03,67.9
certalicup.com,99.86.229.107,66.6,67.8,66.83000000000001,66.7
certalicup.com,108.139.29.78,70.0,71.1,70.14,70.0
certalicup.com,3.168.86.111,0.79,1.82,0.9272,0.825
certalicup.com,13.225.78.33,146.0,147.0,146.1,146.0
certalicup.com,108.156.22.120,166.0,167.0,166.1,166.0
certalicup.com,3.168.86.124,0.823,1.65,0.9365,0.876
certalicup.com,108.139.29.106,68.3,68.8,68.41999999999999,68.4
certalicup.com,13.225.78.101,146.0,147.0,146.1,146.0
certalicup.com,18.239.69.53,137.0,138.0,137.5,137.5
blendlabs.com,65.8.161.126,0.3,1.62,0.5006,0.372
blendlabs.com,65.8.161.60,0.313,0.837,0.4288,0.34199999999999997
blendlabs.com,99.84.191.63,66.5,67.9,66.67,66.5
blendlabs.com,18.165.140.124,168.0,170.0,168.3,168.0
blendlabs.com,18.239.69.95,140.0,141.0,140.2,140.0
blendlabs.com,13.33.252.113,68.9,69.8,69.04999999999998,69.0
blendlabs.com,18.67.17.99,66.9,67.1,66.96,66.95
blendlabs.com,13.33.252.38,68.6,68.9,68.68,68.7
blendlabs.com,13.33.252.3,70.0,70.1,70.01,70.0
blendlabs.com,65.8.161.116,0.332,0.961,0.47300000000000003,0.4245
blendlabs.com,65.8.161.97,0.382,1.93,0.676,0.4935
blendlabs.com,18.165.140.129,165.0,166.0,165.1,165.0
blendlabs.com,18.245.60.29,148.0,148.0,148.0,148.0
playbattlegrounds.com,108.138.246.32,0.786,2.1,0.9999,0.826
playbattlegrounds.com,18.66.122.126,148.0,149.0,148.1,148.0
playbattlegrounds.com,18.172.78.128,236.0,238.0,236.4,236.0
playbattlegrounds.com,18.164.96.22,68.6,68.7,68.63000000000001,68.6
playbattlegrounds.com,13.225.4.73,185.0,186.0,185.1,185.0
playbattlegrounds.com,108.138.246.27,0.814,1.5,0.9037000000000001,0.8374999999999999
